cell,type,class,sx,sy,px,py
g212962__6783,OAI211xp5_ASAP7_75t_SL,core,324,270,35028,25578
g212963__3680,OAI21xp5_ASAP7_75t_SL,core,270,270,29952,20718
g212964__1617,AOI321xp33_ASAP7_75t_SL,core,432,270,27090,8298
g212965__2802,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,6246,16938
g212966__1705,AOI211xp5_ASAP7_75t_SL,core,324,270,19368,8568
g212967__5122,AND4x2_ASAP7_75t_SL,core,432,270,20448,8838
g212968__8246,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,31896,17748
g212969__7098,O2A1O1Ixp5_ASAP7_75t_SL,core,432,270,5652,19098
g212970__6131,OAI22xp5_ASAP7_75t_SL,core,324,270,9972,14238
g212971__1881,AOI221x1_ASAP7_75t_SL,core,756,270,16560,10998
g212972__5115,OAI221xp5_ASAP7_75t_SL,core,378,270,23310,31248
g212973__7482,OAI211xp5_ASAP7_75t_SL,core,324,270,11376,10728
g212974__4733,OAI21xp5_ASAP7_75t_SL,core,270,270,11862,12078
g212975__6161,AOI21x1_ASAP7_75t_SL,core,432,270,34272,14238
g212976__9315,OAI221xp5_ASAP7_75t_SL,core,378,270,28926,31788
g212977__9945,OAI211xp5_ASAP7_75t_SL,core,324,270,28116,7218
g212978__2883,AO21x2_ASAP7_75t_SL,core,378,270,29790,24498
g212979__2346,NAND4xp25_ASAP7_75t_SL,core,324,270,25470,10188
g212980__1666,AO22x2_ASAP7_75t_SL,core,540,270,30816,16938
g212981__7410,AO211x2_ASAP7_75t_SL,core,864,270,21852,30708
g212982__6417,AOI321xp33_ASAP7_75t_SL,core,432,270,26604,9648
g212983__5477,AOI221x1_ASAP7_75t_SL,core,756,270,33030,12618
g212984__2398,OAI211xp5_ASAP7_75t_SL,core,324,270,33732,19638
g212985__5107,AND3x1_ASAP7_75t_SL,core,324,270,29304,9108
g212986__6260,AOI21xp5_ASAP7_75t_SL,core,270,270,23418,33138
g212987__4319,OAI21xp5_ASAP7_75t_SL,core,270,270,17910,8568
g212988__8428,OAI211xp5_ASAP7_75t_SL,core,324,270,31356,20718
g212989__5526,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,29412,13698
g212990__6783,OAI21xp5_ASAP7_75t_SL,core,270,270,29736,12348
g212991__3680,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,9270,15318
g212992__1617,AOI211xp5_ASAP7_75t_SL,core,324,270,22878,31788
g212993__2802,AOI21xp5_ASAP7_75t_SL,core,270,270,21420,8838
g212994__1705,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,7866,17748
g212995__5122,NOR3xp33_ASAP7_75t_SL,core,270,270,34056,20988
g212996__8246,OAI21xp5_ASAP7_75t_SL,core,270,270,21528,5058
g212997__7098,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,8028,26658
g212998__6131,AOI21xp5_ASAP7_75t_SL,core,270,270,17910,10188
g213000__5115,AO21x1_ASAP7_75t_SL,core,324,270,17316,10998
g213001__7482,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,20610,6678
g213002__4733,OAI31xp33_ASAP7_75t_SL,core,324,270,10458,28818
g213003__6161,AND2x2_ASAP7_75t_SL,core,324,270,30438,28008
g213004__9315,OA21x2_ASAP7_75t_SL,core,378,270,21042,9108
g213005__9945,AOI221x1_ASAP7_75t_SL,core,756,270,34920,21798
g213006__2883,NAND2xp5_ASAP7_75t_SL,core,216,270,33300,16398
g213007__2346,OAI221xp5_ASAP7_75t_SL,core,378,270,12240,12888
g213008__1666,AOI21xp5_ASAP7_75t_SL,core,270,270,35514,12618
g213009__7410,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,28818,14508
g213010__6417,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,29142,16398
g213011__5477,AOI221xp5_ASAP7_75t_SL,core,378,270,34326,11538
g213012__2398,AOI31xp33_ASAP7_75t_SL,core,324,270,25956,11268
g213013__5107,AOI221x1_ASAP7_75t_SL,core,756,270,8190,17748
g213014__6260,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,7380,18288
g213015__4319,AOI221xp5_ASAP7_75t_SL,core,378,270,12024,10728
g213016__8428,OAI211xp5_ASAP7_75t_SL,core,324,270,19152,8298
g213017__5526,AOI31xp33_ASAP7_75t_SL,core,324,270,37404,23418
g213018__6783,NAND2xp5_ASAP7_75t_SL,core,216,270,18774,9108
g213019__3680,OAI21xp33_ASAP7_75t_L,core,270,270,37998,24768
g213020__1617,OAI221xp5_ASAP7_75t_SL,core,378,270,31194,13968
g213021__2802,OAI311xp33_ASAP7_75t_SL,core,378,270,9000,26928
g213022__1705,OA21x2_ASAP7_75t_SL,core,378,270,18396,9108
g213023__5122,OAI211xp5_ASAP7_75t_SL,core,324,270,30330,15588
g213024__8246,AOI221xp5_ASAP7_75t_SL,core,378,270,34866,11538
g213025__7098,OAI211xp5_ASAP7_75t_SL,core,324,270,7920,29628
g213026__6131,AOI21xp5_ASAP7_75t_SL,core,270,270,23634,30978
g213027__1881,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,27738,13698
g213028__5115,AOI21xp5_ASAP7_75t_SL,core,270,270,19368,9108
g213029__7482,NAND4xp25_ASAP7_75t_SL,core,324,270,21096,5328
g213030__4733,OAI211xp5_ASAP7_75t_SL,core,324,270,17154,6948
g213031__6161,OAI21xp33_ASAP7_75t_SL,core,270,270,11214,27198
g213032__9315,OAI211xp5_ASAP7_75t_SL,core,324,270,26550,9108
g213033__9945,OAI211xp5_ASAP7_75t_SL,core,324,270,34866,13428
g213034__2883,OAI221xp5_ASAP7_75t_SL,core,378,270,11754,9918
g213035__2346,OAI21xp5_ASAP7_75t_SL,core,270,270,36540,22068
g213036__1666,AOI211x1_ASAP7_75t_SL,core,648,270,29250,26658
g213037__7410,AOI221xp5_ASAP7_75t_SL,core,378,270,20772,33138
g213038__6417,NAND3xp33_ASAP7_75t_SL,core,270,270,37080,25848
g213039__5477,AND4x1_ASAP7_75t_SL,core,378,270,6516,15588
g213040__2398,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,10350,26118
g213041__5107,OA22x2_ASAP7_75t_SL,core,540,270,26442,10998
g213042__6260,NAND3xp33_ASAP7_75t_SL,core,270,270,9000,15048
g213043__4319,OAI211xp5_ASAP7_75t_SL,core,324,270,20772,34218
g213044__8428,NAND4xp25_ASAP7_75t_SL,core,324,270,11322,11538
g213045__5526,OA331x1_ASAP7_75t_SL,core,540,270,32598,18558
g213046__6783,NAND3xp33_ASAP7_75t_SL,core,270,270,27900,8568
g213047__3680,OAI221xp5_ASAP7_75t_SL,core,378,270,15480,8028
g213048__1617,OAI321xp33_ASAP7_75t_SL,core,432,270,30492,24498
g213049__2802,OAI311xp33_ASAP7_75t_SL,core,378,270,33192,20448
g213050__1705,AOI221x1_ASAP7_75t_SL,core,756,270,21906,6408
g213051__5122,AOI321xp33_ASAP7_75t_SL,core,432,270,32166,26928
g213052__8246,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,29250,27738
g213053__7098,AOI311xp33_ASAP7_75t_SL,core,378,270,19746,7488
g213054__6131,AOI321xp33_ASAP7_75t_SL,core,432,270,34920,13968
g213055__1881,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,26280,11538
g213056__5115,AOI221x1_ASAP7_75t_SL,core,756,270,23904,33948
g213057__7482,OAI221xp5_ASAP7_75t_SL,core,378,270,16344,7488
g213058__4733,OAI211xp5_ASAP7_75t_SL,core,324,270,8892,28548
g213059__6161,AOI221xp5_ASAP7_75t_SL,core,378,270,29520,28008
g213060__9315,AOI221x1_ASAP7_75t_SL,core,756,270,32490,13698
g213061__9945,AO21x1_ASAP7_75t_SL,core,324,270,17262,11268
g213062__2883,OAI211xp5_ASAP7_75t_SL,core,324,270,37566,26118
g213063__2346,OAI211xp5_ASAP7_75t_SL,core,324,270,16992,7218
g213064__1666,NAND3xp33_ASAP7_75t_SL,core,270,270,30060,14778
g213065__7410,NOR4xp75_ASAP7_75t_SL,core,756,270,35460,21528
g213066__6417,OAI322xp33_ASAP7_75t_SL,core,486,270,29682,25848
g213067__5477,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,9054,25578
g213068__2398,OAI211xp5_ASAP7_75t_SL,core,324,270,21744,5598
g213069__5107,OAI211xp5_ASAP7_75t_SL,core,324,270,29628,30168
g213070__6260,AOI221xp5_ASAP7_75t_SL,core,378,270,21744,32868
g213071__4319,NAND4xp25_ASAP7_75t_SL,core,324,270,31086,28008
g213072__8428,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,8946,16128
g213073__5526,OAI22xp5_ASAP7_75t_SL,core,324,270,30924,24228
g213074__6783,OAI311xp33_ASAP7_75t_SL,core,378,270,27738,9918
g213075__3680,OAI22xp5_ASAP7_75t_SL,core,324,270,16398,6678
g213076__1617,OAI221xp5_ASAP7_75t_SL,core,378,270,31302,18828
g213077__2802,NAND4xp25_ASAP7_75t_SL,core,324,270,28872,32868
g213078__1705,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,36432,23958
g213079__5122,AOI321xp33_ASAP7_75t_SL,core,432,270,32976,14238
g213080__8246,OAI221xp5_ASAP7_75t_SL,core,378,270,5436,15588
g213081__7098,AOI32xp33_ASAP7_75t_SL,core,378,270,33948,17208
g213082__6131,OAI211xp5_ASAP7_75t_SL,core,324,270,24012,31518
g213083__1881,NAND4xp25_ASAP7_75t_SL,core,324,270,32220,12078
g213084__5115,OAI21xp5_ASAP7_75t_SL,core,270,270,16074,10458
g213085__7482,AOI221xp5_ASAP7_75t_SL,core,378,270,28494,32868
g213086__4733,OAI221xp5_ASAP7_75t_SL,core,378,270,12780,12348
g213087__6161,OAI311xp33_ASAP7_75t_SL,core,378,270,10026,13968
g213088__9315,AOI22xp33_ASAP7_75t_SL,core,324,270,29142,16128
g213089__9945,AOI22xp5_ASAP7_75t_SL,core,324,270,9648,26928
g213090__2883,AOI22xp5_ASAP7_75t_SL,core,324,270,30870,21528
g213091__2346,OAI21xp5_ASAP7_75t_SL,core,270,270,28008,30168
g213092__1666,OAI22xp33_ASAP7_75t_SL,core,324,270,10242,12348
g213093__7410,NAND4xp25_ASAP7_75t_L,core,324,270,10782,13158
g213094__6417,AOI22xp33_ASAP7_75t_SL,core,324,270,7272,18558
g213095__5477,OAI221xp5_ASAP7_75t_SL,core,378,270,10080,28278
g213096__2398,AOI322xp5_ASAP7_75t_SL,core,486,270,6786,16668
g213097__5107,OAI211xp5_ASAP7_75t_SL,core,324,270,30006,31518
g213098__6260,OAI211xp5_ASAP7_75t_SL,core,324,270,11970,11268
g213099__4319,OAI221xp5_ASAP7_75t_SL,core,378,270,29196,30708
g213100__8428,OAI211xp5_ASAP7_75t_SL,core,324,270,17208,8298
g213101__5526,AOI211xp5_ASAP7_75t_SL,core,324,270,32976,10998
g213102__6783,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,6462,18828
g213103__3680,OA331x1_ASAP7_75t_SL,core,540,270,20070,6678
g213104__1617,OAI21xp5_ASAP7_75t_SL,core,270,270,25686,33948
g213105__2802,OAI311xp33_ASAP7_75t_SL,core,378,270,30546,27198
g213106__1705,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,16182,9378
g213107__5122,NAND4xp25_ASAP7_75t_SL,core,324,270,7272,27198
g213108__8246,OAI21xp5_ASAP7_75t_SL,core,270,270,33894,20718
g213109__7098,NAND4xp25_ASAP7_75t_SL,core,324,270,28332,15318
g213110__6131,OAI211xp5_ASAP7_75t_SL,core,324,270,32436,26388
g213111__1881,OAI211xp5_ASAP7_75t_SL,core,324,270,29628,32868
g213112__5115,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,33462,11268
g213113__7482,AOI311xp33_ASAP7_75t_L,core,378,270,32652,26118
g213114__4733,OAI21xp5_ASAP7_75t_SL,core,270,270,30546,27468
g213115__6161,OAI211xp5_ASAP7_75t_SL,core,324,270,27576,8568
g213116__9315,A2O1A1O1Ixp25_ASAP7_75t_SL,core,486,270,25200,32058
g213117__9945,OA22x2_ASAP7_75t_SL,core,540,270,31032,29898
g213118__2883,AOI332xp33_ASAP7_75t_SL,core,540,270,14724,9378
g213119__2346,OAI22xp5_ASAP7_75t_SL,core,324,270,23688,33138
g213120__1666,AOI221xp5_ASAP7_75t_SL,core,378,270,8028,18018
g213121__7410,NAND4xp25_ASAP7_75t_SL,core,324,270,20124,8838
g213122__6417,OAI211xp5_ASAP7_75t_SL,core,324,270,11538,10998
g213123__5477,OAI21x1_ASAP7_75t_SL,core,432,270,18504,8838
g213124__2398,AOI22xp33_ASAP7_75t_SL,core,324,270,11430,9918
g213125__5107,OAI211xp5_ASAP7_75t_SL,core,324,270,30384,18828
g213126__6260,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,26982,10998
g213127__4319,OAI211xp5_ASAP7_75t_SL,core,324,270,31680,17478
g213128__8428,A2O1A1O1Ixp25_ASAP7_75t_SL,core,486,270,29790,16128
g213129__5526,NAND3xp33_ASAP7_75t_L,core,270,270,20286,9108
g213130__6783,OAI22xp5_ASAP7_75t_SL,core,324,270,11700,28008
g213131__3680,AOI221xp5_ASAP7_75t_SL,core,378,270,33246,17208
g213132__1617,OAI211xp5_ASAP7_75t_SL,core,324,270,30276,24768
g213133__2802,AOI22xp33_ASAP7_75t_SL,core,324,270,30276,12618
g213134__1705,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,36216,22068
g213135__5122,AOI211xp5_ASAP7_75t_SL,core,324,270,32328,19098
g213136__8246,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,21420,6948
g213137__7098,OAI211xp5_ASAP7_75t_SL,core,324,270,28332,13698
g213138__6131,OAI221xp5_ASAP7_75t_SL,core,378,270,30870,14238
g213139__1881,OAI211xp5_ASAP7_75t_SL,core,324,270,36864,14778
g213140__5115,AOI21xp5_ASAP7_75t_SL,core,270,270,27954,29358
g213141__7482,OAI21xp5_ASAP7_75t_SL,core,270,270,36918,13698
g213142__4733,A2O1A1Ixp33_ASAP7_75t_R,core,324,270,31680,15048
g213143__6161,OAI21xp5_ASAP7_75t_SL,core,270,270,25416,9918
g213144__9315,OAI211xp5_ASAP7_75t_L,core,324,270,24714,8568
g213145__9945,OAI32xp33_ASAP7_75t_L,core,378,270,10134,11268
g213146__2883,O2A1O1Ixp33_ASAP7_75t_R,core,324,270,28494,32598
g213147__2346,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,18180,10188
g213148__1666,AOI22xp33_ASAP7_75t_L,core,324,270,33570,23418
g213149__7410,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,26658,29898
g213150__6417,AOI322xp5_ASAP7_75t_L,core,486,270,8568,12078
g213152__5477,AOI211xp5_ASAP7_75t_SL,core,324,270,30978,26118
g213153__2398,OAI21xp5_ASAP7_75t_SL,core,270,270,27630,32868
g213154__5107,OAI221xp5_ASAP7_75t_SL,core,378,270,37512,22068
g213155__6260,OAI21xp5_ASAP7_75t_SL,core,270,270,7920,16398
g213156__4319,AOI322xp5_ASAP7_75t_SL,core,486,270,27360,30168
g213157__8428,AOI221xp5_ASAP7_75t_SL,core,378,270,27090,8838
g213158__5526,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,8784,15858
g213159__6783,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,19044,5868
g213160__3680,OAI22xp5_ASAP7_75t_SL,core,324,270,28548,31518
g213161__1617,NAND3xp33_ASAP7_75t_SL,core,270,270,21744,31788
g213162__2802,NAND4xp25_ASAP7_75t_SL,core,324,270,5868,14508
g213163__1705,AOI321xp33_ASAP7_75t_SL,core,432,270,24984,33138
g213164__5122,AND4x1_ASAP7_75t_SL,core,378,270,19152,5328
g213165__8246,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,27846,6948
g213166__7098,NAND2xp5_ASAP7_75t_SL,core,216,270,9864,27468
g213167__6131,OR3x1_ASAP7_75t_SL,core,324,270,30384,29898
g213168__1881,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,11052,10728
g213169__5115,AOI22xp33_ASAP7_75t_SL,core,324,270,20772,33408
g213170__7482,AOI22xp5_ASAP7_75t_L,core,324,270,26766,30168
g213171__4733,OAI22xp5_ASAP7_75t_SL,core,324,270,18234,9918
g213172__6161,OAI22xp5_ASAP7_75t_SL,core,324,270,27468,9648
g213173__9315,NAND2xp5_ASAP7_75t_L,core,216,270,29142,24768
g213174__9945,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,29790,18558
g213175__2883,AOI21xp5_ASAP7_75t_SL,core,270,270,34110,24768
g213176__2346,AOI22xp5_ASAP7_75t_SL,core,324,270,36864,26118
g213177__1666,AOI22xp33_ASAP7_75t_SL,core,324,270,8730,25578
g213178__7410,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,11592,28548
g213179__6417,AOI22xp5_ASAP7_75t_SL,core,324,270,35676,21798
g213180__5477,OAI21xp5_ASAP7_75t_SL,core,270,270,30006,14508
g213181__2398,AOI21xp5_ASAP7_75t_SL,core,270,270,9378,26928
g213182__5107,AOI22xp33_ASAP7_75t_L,core,324,270,31788,20178
g213183__6260,AOI222xp33_ASAP7_75t_SL,core,540,270,17856,8028
g213184__4319,AOI221xp5_ASAP7_75t_SL,core,378,270,31194,20448
g213185__8428,AO21x1_ASAP7_75t_SL,core,324,270,25848,32598
g213186__5526,AOI321xp33_ASAP7_75t_SL,core,432,270,28548,13428
g213187__6783,AOI221xp5_ASAP7_75t_SL,core,378,270,27468,29628
g213188__3680,AOI211xp5_ASAP7_75t_SL,core,324,270,28278,7488
g213189__1617,AO221x1_ASAP7_75t_SL,core,540,270,18396,9648
g213190__2802,AOI211xp5_ASAP7_75t_SL,core,324,270,34002,12348
g213191__1705,AOI21xp5_ASAP7_75t_SL,core,270,270,36594,14778
g213192__5122,AOI211xp5_ASAP7_75t_SL,core,324,270,37458,22338
g213193__8246,OAI211xp5_ASAP7_75t_SL,core,324,270,31248,14508
g213194__7098,AOI21xp5_ASAP7_75t_SL,core,270,270,27900,12078
g213195__6131,AOI22xp33_ASAP7_75t_SL,core,324,270,30276,32328
g213196__1881,AOI22xp33_ASAP7_75t_SL,core,324,270,18072,9108
g213197__5115,AOI221xp5_ASAP7_75t_SL,core,378,270,31464,12348
g213198__7482,AOI22xp33_ASAP7_75t_SL,core,324,270,29628,20718
g213199__4733,AO332x1_ASAP7_75t_SL,core,594,270,4680,18558
g213200__6161,OA211x2_ASAP7_75t_SL,core,432,270,37620,23958
g213201__9315,OAI322xp33_ASAP7_75t_SL,core,486,270,33786,14238
g213202__9945,AOI332xp33_ASAP7_75t_SL,core,540,270,34920,24498
g213203__2883,AOI22xp5_ASAP7_75t_SL,core,324,270,9810,12888
g213204__2346,AOI221xp5_ASAP7_75t_SL,core,378,270,22230,31248
g213205__1666,OAI21xp33_ASAP7_75t_L,core,270,270,22284,6678
g213206__7410,AO21x1_ASAP7_75t_SL,core,324,270,36054,13698
g213207__6417,NAND2xp5_ASAP7_75t_SL,core,216,270,19584,7218
g213208__5477,AOI21xp5_ASAP7_75t_SL,core,270,270,26928,6678
g213209__2398,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,20502,5598
g213210__5107,AOI21xp5_ASAP7_75t_L,core,270,270,34650,13968
g213211__6260,OAI21xp33_ASAP7_75t_R,core,270,270,33192,15588
g213212__4319,OAI21xp5_ASAP7_75t_L,core,270,270,24714,10728
g213213__8428,OAI21xp33_ASAP7_75t_L,core,270,270,30276,24228
g213214__5526,OAI31xp33_ASAP7_75t_R,core,324,270,5220,16938
g213215__6783,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,11484,13428
g213216__3680,NAND4xp25_ASAP7_75t_R,core,324,270,35406,13428
g213217__1617,OAI21xp5_ASAP7_75t_SL,core,270,270,23094,7488
g213218__2802,OAI22xp33_ASAP7_75t_SL,core,324,270,19746,6408
g213219__1705,OAI31xp33_ASAP7_75t_L,core,324,270,21582,6408
g213220__5122,AOI31xp33_ASAP7_75t_L,core,324,270,8676,26118
g213221__8246,NAND3xp33_ASAP7_75t_L,core,270,270,37620,22878
g213222__7098,OA33x2_ASAP7_75t_SL,core,540,270,33192,20718
g213223__6131,OAI31xp33_ASAP7_75t_L,core,324,270,28656,33948
g213224__1881,AOI31xp33_ASAP7_75t_SL,core,324,270,35730,23418
g213225__5115,OAI21xp33_ASAP7_75t_SL,core,270,270,26010,11538
g213226__7482,NAND2xp33_ASAP7_75t_R,core,216,270,29142,19908
g213227__4733,OAI21xp33_ASAP7_75t_L,core,270,270,35136,11268
g213228__6161,OAI22xp5_ASAP7_75t_SL,core,324,270,24174,34218
g213229__9315,OAI22xp33_ASAP7_75t_SL,core,324,270,35082,14238
g213230__9945,OAI21xp33_ASAP7_75t_SL,core,270,270,34164,12078
g213231__2883,AOI22xp33_ASAP7_75t_SL,core,324,270,15750,6948
g213232__2346,OAI21xp5_ASAP7_75t_SL,core,270,270,28602,7218
g213233__1666,AOI31xp33_ASAP7_75t_SL,core,324,270,24120,32868
g213234__7410,AOI22xp33_ASAP7_75t_SL,core,324,270,5112,15588
g213235__6417,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,20880,32058
g213236__5477,NAND2xp5_ASAP7_75t_L,core,216,270,31464,26658
g213237__2398,AOI22xp33_ASAP7_75t_SL,core,324,270,37242,26388
g213238__5107,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,10026,27738
g213239__6260,AOI22xp33_ASAP7_75t_SL,core,324,270,32328,20448
g213240__4319,OAI22xp33_ASAP7_75t_L,core,324,270,8892,12618
g213241__8428,AOI22xp33_ASAP7_75t_SL,core,324,270,15048,7218
g213242__5526,AOI22xp33_ASAP7_75t_SL,core,324,270,26442,6948
g213243__6783,AOI22xp33_ASAP7_75t_SL,core,324,270,29682,13158
g213244__3680,AOI22xp33_ASAP7_75t_SL,core,324,270,34812,11808
g213245__1617,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,35892,22878
g213246__2802,OAI22xp5_ASAP7_75t_SL,core,324,270,22122,33678
g213247__1705,AOI22xp5_ASAP7_75t_SL,core,324,270,8568,28548
g213248__5122,OAI21xp33_ASAP7_75t_SL,core,270,270,16182,7758
g213249__8246,OAI21xp33_ASAP7_75t_L,core,270,270,33192,17478
g213250__7098,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,28764,9378
g213251__6131,AOI22xp5_ASAP7_75t_SL,core,324,270,13860,9918
g213252__1881,AOI22xp33_ASAP7_75t_SL,core,324,270,30924,25038
g213253__5115,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,33408,19368
g213254__7482,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,23202,33408
g213255__4733,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,28818,32598
g213256__6161,OAI33xp33_ASAP7_75t_SL,core,432,270,22608,6138
g213257__9315,AOI22xp33_ASAP7_75t_SL,core,324,270,31086,21258
g213258__9945,AOI22xp33_ASAP7_75t_SL,core,324,270,20178,5598
g213259__2883,AOI31xp33_ASAP7_75t_SL,core,324,270,18720,6678
g213260__2346,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,30546,27738
g213261__1666,OAI32xp33_ASAP7_75t_SL,core,378,270,16182,11268
g213262__7410,AOI211xp5_ASAP7_75t_SL,core,324,270,21852,4788
g213263__6417,OAI22xp5_ASAP7_75t_L,core,324,270,10728,28548
g213264__5477,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,18234,9378
g213265__2398,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,28440,30168
g213266__5107,AOI22xp5_ASAP7_75t_SL,core,324,270,31518,17748
g213267__6260,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,8838,10998
g213268__4319,OAI31xp33_ASAP7_75t_SL,core,324,270,20880,8838
g213269__8428,AOI22xp33_ASAP7_75t_SL,core,324,270,31032,26658
g213270__5526,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,33030,12888
g213271__6783,OA21x2_ASAP7_75t_SL,core,378,270,18936,8838
g213272__3680,O2A1O1Ixp33_ASAP7_75t_R,core,324,270,26874,31518
g213273__1617,AOI21xp5_ASAP7_75t_SL,core,270,270,13698,32868
g213274__2802,OAI22xp5_ASAP7_75t_SL,core,324,270,7704,17478
g213275__1705,AOI21xp5_ASAP7_75t_SL,core,270,270,34542,22068
g213276__5122,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,35568,12348
g213277__8246,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,35838,15048
g213278__7098,AOI33xp33_ASAP7_75t_SL,core,432,270,9702,13698
g213279__6131,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,24336,8298
g213280__1881,AOI32xp33_ASAP7_75t_SL,core,378,270,33246,18288
g213281__5115,AOI22xp33_ASAP7_75t_SL,core,324,270,36270,25848
g213282__7482,OAI22xp5_ASAP7_75t_L,core,324,270,35136,11808
g213283__4733,OAI22xp5_ASAP7_75t_SL,core,324,270,16236,10998
g213284__6161,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,29844,19638
g213285,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,29196,28548
g213286,AOI32xp33_ASAP7_75t_SL,core,378,270,25956,9108
g213287,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,7596,16128
g213288,AOI22xp5_ASAP7_75t_SL,core,324,270,29250,33408
g213289,OAI221xp5_ASAP7_75t_L,core,378,270,9432,28548
g213290,A2O1A1O1Ixp25_ASAP7_75t_SL,core,486,270,21690,8838
g213291,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,30114,11538
g213292,AOI32xp33_ASAP7_75t_SL,core,378,270,29844,28818
g213293,AOI32xp33_ASAP7_75t_SL,core,378,270,14400,7218
g213294,A2O1A1Ixp33_ASAP7_75t_R,core,324,270,13050,30168
g213295,OAI31xp33_ASAP7_75t_L,core,324,270,16128,8028
g213296,AOI22xp5_ASAP7_75t_SL,core,324,270,12726,12618
g213297,OAI22xp5_ASAP7_75t_SL,core,324,270,36432,25308
g213298,AOI21xp5_ASAP7_75t_SL,core,270,270,23202,33948
g213299,OAI33xp33_ASAP7_75t_SL,core,432,270,35784,10998
g213300,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,22176,33408
g213301,OAI21xp33_ASAP7_75t_L,core,270,270,19098,8568
g213302,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,11052,26928
g213303,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,30276,31788
g213304,AOI33xp33_ASAP7_75t_SL,core,432,270,8568,30168
g213305,O2A1O1Ixp33_ASAP7_75t_L,core,324,270,32706,12888
g213306,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,17586,8568
g213307,A2O1A1O1Ixp25_ASAP7_75t_R,core,486,270,18720,4248
g213308,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,33462,21258
g213309,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,30168,12078
g213310,A2O1A1Ixp33_ASAP7_75t_SL,core,324,270,33354,19908
g213311,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,30816,12888
g213312,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,27846,32598
g213313,OAI21xp33_ASAP7_75t_L,core,270,270,7704,16938
g213314,O2A1O1Ixp33_ASAP7_75t_SL,core,324,270,7812,14778
g213315,A2O1A1Ixp33_ASAP7_75t_L,core,324,270,30762,28008
g213316,AOI22xp5_ASAP7_75t_SL,core,324,270,26496,8568
g213317,OAI22xp5_ASAP7_75t_SL,core,324,270,33894,13158
g213318,AOI322xp5_ASAP7_75t_SL,core,486,270,27792,14238
g213319,OAI21xp5_ASAP7_75t_SL,core,270,270,27090,30168
